strain	date	country	division	author	author__url	accession	accession__url
EM_COY_2015_016642	2015-05-17	Guinea	Forecariah	Quick et al		EM_COY_2015_016642	https://github.com/nickloman/ebov/
EM_FORE_2015_875	2015-06-17	Guinea	Forecariah	Quick et al		EM_FORE_2015_875	https://github.com/nickloman/ebov/
EM_FORE_2015_816	2015-06-15	Guinea	Forecariah	Quick et al		EM_FORE_2015_816	https://github.com/nickloman/ebov/
EM_COY_2015_014102	2015-03-26	Guinea	Conakry	Quick et al		EM_COY_2015_014102	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_4909	2015-03-29	Guinea	Conakry	Quick et al		IPDPFHguineaSP_GUI_2015_4909	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_5117	2015-04-03	Guinea	Dubreka	Quick et al		IPDPFHguineaSP_GUI_2015_5117	https://github.com/nickloman/ebov/
EM_COY_2015_013731	2015-03-14	Guinea	Coyah	Quick et al		EM_COY_2015_013731	https://github.com/nickloman/ebov/
EM_COY_2015_014098	2015-03-26	Guinea	Conakry	Quick et al		EM_COY_2015_014098	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_4786	2015-03-26	Guinea	Conakry	Quick et al		IPDPFHguineaSP_GUI_2015_4786	https://github.com/nickloman/ebov/
EM_COY_2015_014100	2015-03-26	Guinea	Conakry	Quick et al		EM_COY_2015_014100	https://github.com/nickloman/ebov/
EM_COY_2015_014261	2015-04-02	Guinea	Forecariah	Quick et al		EM_COY_2015_014261	https://github.com/nickloman/ebov/
EM_COY_2015_015802	2015-04-14	Guinea	Coyah	Quick et al		EM_COY_2015_015802	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_5339	2015-04-08	Guinea	Conakry	Quick et al		IPDPFHguineaSP_GUI_2015_5339	https://github.com/nickloman/ebov/
EM_COY_2015_017091	2015-05-28	Guinea	Boke	Quick et al		EM_COY_2015_017091	https://github.com/nickloman/ebov/
KG12	2015-05-27	Guinea	Boke	Quick et al		KG12	https://github.com/nickloman/ebov/
EM_COY_2015_016743	2015-05-19	Guinea	Boke	Quick et al		EM_COY_2015_016743	https://github.com/nickloman/ebov/
EM_COY_2015_016483	2015-05-13	Guinea	Boke	Quick et al		EM_COY_2015_016483	https://github.com/nickloman/ebov/
KG90	2015-06-19	Guinea	Boke	Quick et al		KG90	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_6899	2015-05-14	Guinea	Boke	Quick et al		IPDPFHguineaSP_GUI_2015_6899	https://github.com/nickloman/ebov/
KG87	2015-06-19	Guinea	Boke	Quick et al		KG87	https://github.com/nickloman/ebov/
EM_COY_2015_017574	2015-06-10	Guinea	Boke	Quick et al		EM_COY_2015_017574	https://github.com/nickloman/ebov/
KG45	2015-06-09	Guinea	Boke	Quick et al		KG45	https://github.com/nickloman/ebov/
KG35	2015-06-08	Guinea	Boke	Quick et al		KG35	https://github.com/nickloman/ebov/
KG88	2015-06-19	Guinea	Boke	Quick et al		KG88	https://github.com/nickloman/ebov/
KG80	2015-06-18	Guinea	Boke	Quick et al		KG80	https://github.com/nickloman/ebov/
KG91	2015-06-20	Guinea	Boke	Quick et al		KG91	https://github.com/nickloman/ebov/
GUI_CTS_2015_0050	2015-06-20	Guinea	Boke	Quick et al		GUI_CTS_2015_0050	https://github.com/nickloman/ebov/
KG168	2015-06-29	Guinea	Boke	Quick et al		KG168	https://github.com/nickloman/ebov/
GUI_CTS_2015_0052	2015-06-25	Guinea	Boke	Quick et al		GUI_CTS_2015_0052	https://github.com/nickloman/ebov/
GUI_CTS_2015_0051	2015-06-21	Guinea	Boke	Quick et al		GUI_CTS_2015_0051	https://github.com/nickloman/ebov/
KG167	2015-06-29	Guinea	Boke	Quick et al		KG167	https://github.com/nickloman/ebov/
Kissidougou-C15	2014-03-17	Guinea	Kissidougou	Baize et al	https://www.ncbi.nlm.nih.gov/pubmed/24738640	KJ660346	https://www.ncbi.nlm.nih.gov/nuccore/KJ660346
EM_079442	2014-04-03	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817192	https://www.ncbi.nlm.nih.gov/nuccore/KR817192
EM_079410	2014-03-31	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817182	https://www.ncbi.nlm.nih.gov/nuccore/KR817182
EM_080193	2014-06-29	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817239	https://www.ncbi.nlm.nih.gov/nuccore/KR817239
G3686	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034562	https://www.ncbi.nlm.nih.gov/nuccore/KM034562
EM_080213	2014-07-03	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817240	https://www.ncbi.nlm.nih.gov/nuccore/KR817240
EM_000934	2014-09-29	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817083	https://www.ncbi.nlm.nih.gov/nuccore/KR817083
EM_074531	2014-08-08	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817122	https://www.ncbi.nlm.nih.gov/nuccore/KR817122
